rank,title,artist,last_week,peak,duration,image-url
1,Blinding Lights,The Weeknd,1,1,18,"url(""https://charts-static.billboard.com/img/2019/12/the-weeknd-nsd-blinding-lights-gfd-155x155.jpg"");"
2,The Box,Roddy Ricch,2,1,17,"url(""https://charts-static.billboard.com/img/2019/12/roddy-ricch-eqp-the-box-2k7-155x155.jpg"");"
3,Don't Start Now,Dua Lipa,3,2,22,"url(""https://charts-static.billboard.com/img/2019/11/dua-lipa-eqf-dont-start-now-q9p-155x155.jpg"");"
4,Circles,Post Malone,5,1,31,"url(""https://charts-static.billboard.com/img/2019/09/post-malone-tp6-circles-sb0-155x155.jpg"");"
5,Life Is Good,Future Featuring Drake,6,2,12,"url(""https://charts-static.billboard.com/img/2020/01/future-tsu-life-is-good-rko-155x155.jpg"");"
6,Adore You,Harry Styles,7,6,17,"url(""https://charts-static.billboard.com/img/2019/12/harry-styles-psx-adore-you-n45-155x155.jpg"");"
7,Say So,Doja Cat,9,7,13,"url(""https://charts-static.billboard.com/img/2018/04/doja-cat-m37-155x155.jpg"");"
8,Intentions,Justin Bieber Featuring Quavo,8,8,8,"url(""https://charts-static.billboard.com/img/2020/02/justin-bieber-4oh-intentions-w81-155x155.jpg"");"
9,everything i wanted,Billie Eilish,12,8,21,"url(""https://charts-static.billboard.com/img/2019/11/billie-eilish-acb-everything-i-wanted-mj1-155x155.jpg"");"
10,Someone You Loved,Lewis Capaldi,11,1,47,"url(""https://charts-static.billboard.com/img/2019/03/lewis-capaldi-s2h-someone-you-loved-em0-155x155.jpg"");"
11,Roxanne,Arizona Zervas,10,4,22,"url(""https://charts-static.billboard.com/img/2019/11/arizona-zervas-egt-roxanne-5y8-155x155.jpg"");"
12,Heartless,The Weeknd,4,1,19,"url(""https://charts-static.billboard.com/img/2019/12/the-weeknd-pqn-heartless-6te-155x155.jpg"");"
13,Memories,Maroon 5,14,2,28,"url(""https://charts-static.billboard.com/img/2019/09/maroon-5-vhb-memories-cnj-155x155.jpg"");"
14,The Bones,Maren Morris,17,14,28,"url(""https://charts-static.billboard.com/img/2019/03/maren-morris-knd-the-bones-u43-155x155.jpg"");"
15,My Oh My,Camila Cabello Featuring DaBaby,18,15,17,"url(""https://charts-static.billboard.com/img/2015/12/camila-cabello-qq5-155x155.jpg"");"
16,Hot Girl Bummer,blackbear,13,11,29,"url(""https://charts-static.billboard.com/img/2019/09/blackbear-nbm-hot-girl-bummer-nvt-155x155.jpg"");"
17,Turks,"NAV, Gunna & Travis Scott",-,17,1,"url(""https://charts-static.billboard.com/img/2020/04/nav-b0r-turks-w6o-155x155.jpg"");"
18,Savage,Megan Thee Stallion,20,18,3,"url(""https://charts-static.billboard.com/img/2020/03/megan-thee-stallion-fnn-savage-2lf-155x155.jpg"");"
19,Blueberry Faygo,Lil Mosey,37,19,8,"url(""https://charts-static.billboard.com/img/2020/02/lil-mosey-j5a-blueberry-faygo-e1e-155x155.jpg"");"
20,Dance Monkey,Tones And I,15,4,26,"url(""https://charts-static.billboard.com/img/2019/08/tones-and-i-e8g-dance-monkey-945-155x155.jpg"");"
21,Break My Heart,Dua Lipa,-,21,1,"url(""https://charts-static.billboard.com/img/2015/11/dua-lipa-5k0-155x155.jpg"");"
22,I Hope,Gabby Barrett,30,22,14,"url(""https://charts-static.billboard.com/img/2019/03/gabby-barrett-l86-i-hope-mnv-155x155.jpg"");"
23,BELIEVE IT,PARTYNEXTDOOR & Rihanna,-,23,1,"url(""https://charts-static.billboard.com/img/2013/07/partynextdoor-a5g-155x155.jpg"");"
24,Ballin',Mustard & Roddy Ricch,23,11,37,"url(""https://charts-static.billboard.com/img/2019/07/mustard-000-ballin-3hx-155x155.jpg"");"
25,Falling,Trevor Daniel,29,25,20,"url(""https://charts-static.billboard.com/img/2019/11/trevor-daniel-000-falling-gtf-155x155.jpg"");"
26,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,26,26,19,"url(""https://charts-static.billboard.com/img/2019/10/the-black-eyed-peas-kvc-ritmo-bad-boys-for-life-2fu-155x155.jpg"");"
27,Stupid Love,Lady Gaga,27,5,5,"url(""https://charts-static.billboard.com/img/2020/03/lady-gaga-lkc-stupid-love-arb-155x155.jpg"");"
28,"10,000 Hours",Dan + Shay & Justin Bieber,19,4,26,"url(""https://charts-static.billboard.com/img/2019/10/dan-shay-aqf-10000-hours-e1h-155x155.jpg"");"
29,BOP,DaBaby,31,11,27,"url(""https://charts-static.billboard.com/img/2019/10/dababy-sfn-bop-3fy-155x155.jpg"");"
30,Heart On Ice,Rod Wave,43,30,21,"url(""https://charts-static.billboard.com/img/2019/11/rod-wave-000-heart-on-ice-02e-155x155.jpg"");"
31,High Fashion,Roddy Ricch Featuring Mustard,36,20,14,"url(""https://charts-static.billboard.com/img/2018/11/roddy-ricch-eqp-155x155.jpg"");"
32,Nobody But You,Blake Shelton Duet With Gwen Stefani,44,32,12,"url(""https://charts-static.billboard.com/img/2019/12/blake-shelton-m3d-nobody-but-you-29g-155x155.jpg"");"
33,Suicidal,YNW Melly & Juice WRLD,35,20,18,"url(""https://charts-static.billboard.com/img/2019/12/ynw-melly-000-suicidal-ptj-155x155.jpg"");"
34,You should be sad,Halsey,33,26,12,"url(""https://charts-static.billboard.com/img/2020/01/halsey-iqm-you-should-be-sad-gqk-155x155.jpg"");"
35,No Guidance,Chris Brown Featuring Drake,34,5,43,"url(""https://charts-static.billboard.com/img/2019/06/chris-brown-abf-no-guidance-yi0-155x155.jpg"");"
36,Chasin' You,Morgan Wallen,53,36,10,"url(""https://charts-static.billboard.com/img/2016/08/morgan-wallen-ur7-87x87.jpg"");"
37,Slow Dance In A Parking Lot,Jordan Davis,49,37,13,"url(""https://charts-static.billboard.com/img/2019/05/jordan-davis-err-slow-dance-in-a-parking-lot-1s8-155x155.jpg"");"
38,Homesick,Kane Brown,40,35,20,"url(""https://charts-static.billboard.com/img/2018/09/kane-brown-ndj-homesick-70q-155x155.jpg"");"
39,Roses (Imanbek Remix),SAINt JHN,55,39,2,"url(""https://charts-static.billboard.com/img/2019/10/saint-jhn-000-roses-n07-155x155.jpg"");"
40,Catch,Brett Young,61,40,10,"url(""https://charts-static.billboard.com/img/2019/06/brett-young-9rw-catch-97n-155x155.jpg"");"
41,I Love Me,Demi Lovato,48,18,4,"url(""https://charts-static.billboard.com/img/2020/03/demi-lovato-sad-i-love-me-fqg-155x155.jpg"");"
42,In Your Eyes,The Weeknd,16,16,2,"url(""https://charts-static.billboard.com/img/2011/11/the-weeknd-nsd-155x155.jpg"");"
43,death bed,Powfu Featuring beabadoobee,59,43,3,"url(""https://charts-static.billboard.com/img/2020/03/powfu-000-death-bed-ne9-155x155.jpg"");"
44,More Hearts Than Mine,Ingrid Andress,56,44,14,"url(""https://charts-static.billboard.com/img/2019/07/ingrid-andress-000-more-hearts-than-mine-qra-155x155.jpg"");"
45,Slide,H.E.R. Featuring YG,51,45,15,"url(""https://charts-static.billboard.com/img/2019/10/her-6td-slide-jvj-155x155.jpg"");"
46,Woah,Lil Baby,42,15,21,"url(""https://charts-static.billboard.com/img/2019/11/lil-baby-nwx-woah-h7f-155x155.jpg"");"
47,Godzilla,Eminem Featuring Juice WRLD,38,3,11,"url(""https://charts-static.billboard.com/img/2020/02/eminem-6zg-godzilla-r12-155x155.jpg"");"
48,BEST ON EARTH,Russ & BIA,52,46,17,"url(""https://charts-static.billboard.com/img/2019/11/russ-rhp-best-on-earth-ykk-155x155.jpg"");"
49,WHATS POPPIN,Jack Harlow,57,48,8,"url(""https://charts-static.billboard.com/img/2020/02/jack-harlow-ft9-whats-poppin-ddu-155x155.jpg"");"
50,What She Wants Tonight,Luke Bryan,46,46,15,"url(""https://charts-static.billboard.com/img/2019/11/luke-bryan-qhx-what-she-wants-tonight-3j8-155x155.jpg"");"
51,Homemade,Jake Owen,50,39,10,"url(""https://charts-static.billboard.com/img/2019/06/jake-owen-17q-homemade-uhu-155x155.jpg"");"
52,Sunday Best,Surfaces,62,52,5,"url(""https://www.billboard.com/assets/1586539892/images/charts/bb-placeholder-new.jpg"");"
53,Yo Perreo Sola,Bad Bunny,-,53,3,"url(""https://charts-static.billboard.com/img/2016/10/bad-bunny-157-155x155.jpg"");"
54,Dior,Pop Smoke,58,30,7,"url(""https://www.billboard.com/assets/1586539892/images/charts/bb-placeholder-new.jpg"");"
55,Sum 2 Prove,Lil Baby,60,16,12,"url(""https://charts-static.billboard.com/img/2017/11/lil-baby-nwx-155x155.jpg"");"
56,Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,68,56,3,"url(""https://charts-static.billboard.com/img/2019/06/thomas-rhett-2w0-beer-cant-fix-1ze-155x155.jpg"");"
